,mark,model,description,fuel,km,year,gearbox,price,power,isautoscout,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad
27378,PORSCHE,Macan,Turbo 3.6 V6 400 ch PDK,Essence,43000.0,2014,Automatique,52990.0,400.0,1,0,0,1,1,1,1,1
27379,PEUGEOT,208,GT Line,Essence,115237.0,2020,Automatique,15990.0,131.0,1,1,0,1,1,1,0,0
27380,OPEL,Corsa,1.3 CDTI 75 CV 02/2014,Diesel,129420.0,2014,Manuelle,6500.0,75.0,1,1,0,1,1,0,0,0
27381,FORD,Fiesta,1.5 TDCI 85 CH SS BVM6 COOL CONNECT,Diesel,103916.0,2019,Manuelle,10590.0,86.0,1,1,0,1,1,1,0,0
27382,VOLKSWAGEN,Touareg,3.0 V6 TDI Tiptronic 39,Diesel,195179.0,2005,Automatique,6990.0,224.0,1,0,0,1,1,1,1,1
27383,FORD,Mustang,GT350,Essence,48770.0,1968,Automatique,31500.0,171.2730640535373,1,1,0,1,1,1,0,1
27384,FORD,Kuga,2.0 TDCi 150ch Stop\u0026Start Vignale 4x2 Euro6.2,Diesel,55500.0,2018,Manuelle,20800.0,152.0,1,0,0,1,1,1,1,1
27385,SUZUKI,Jimny,1.5 VVT 2 PLACES PRIVILEGE,Essence,10.0,2024,Manuelle,28290.0,102.0,1,0,1,1,1,1,1,1
27386,RENAULT,Captur,TCe 90 Techno,Essence,15861.0,2023,Manuelle,20880.0,90.0,1,0,1,1,1,1,1,1
27387,BMW,320,"DAS GRANTURISMO *SPORT-LINE*, AUTOM, NAVI, BT, LED",Diesel,82250.0,2019,Automatique,22900.0,171.2730640535373,1,1,1,1,1,1,0,1
27388,SKODA,Octavia,1.6 TDI 105 Elegance,Diesel,146512.0,2014,Manuelle,9000.0,105.0,1,1,0,1,1,0,0,0
27389,BMW,X6,xDRIVE 40d 306ch N1 EXCLUSIVE A,Diesel,180500.0,2010,Automatique,17990.0,306.0,1,0,0,1,1,1,1,1
27390,BMW,320,SERIE 3 E90 (03/2005-07/2008) 150ch Luxe,Essence,230000.0,2005,Manuelle,3820.0,150.0,1,1,0,1,1,1,0,1
27391,FORD,Kuga,2.5 Duratec 190 FHEV eCVT ST LINE Hayon Pack Hiver,Électrique/Essence,10.0,2022,Automatique,34450.0,171.2730640535373,1,0,1,1,1,1,0,1
27392,TOYOTA,Corolla,1.8 HYBRID DYNAMIC GARANTIE CONSTRUCTEUR,Électrique/Essence,50683.0,2021,Automatique,21990.0,72.0,1,0,0,1,1,1,1,1
27393,PEUGEOT,3008,1.2 130 PURETECH ALLURE,Essence,112000.0,2018,Manuelle,14990.0,110.0,1,1,0,1,1,1,0,1
27394,OPEL,Combo,M 650kg BlueHDi 100ch S\u0026S Pack Business Conne,Diesel,5900.0,2023,Manuelle,23799.0,101.0,1,0,0,1,1,0,0,0
27395,RENAULT,Grand Scenic,1.5 dCi 110 Bose 7 places Gps Caméra Gtie 1an,Diesel,109300.0,2016,Manuelle,15499.0,171.2730640535373,1,0,1,1,1,1,1,1
27396,BMW,740,BMW SERIE 7 (F02) 740LI 320 XDRIVE PACK M SPORT,Essence,90000.0,2015,Automatique,16990.0,320.0,1,0,0,1,1,1,1,1
27397,PORSCHE,Cayman,718 2.5i S 350 ch PDK,Essence,54000.0,2018,Automatique,70990.0,349.0,1,0,0,1,1,1,1,1
27398,MERCEDES-BENZ,EQS,580 BERLINE - BM V297 AMG Line 4-Matic,Electrique,7000.0,2023,Automatique,129900.0,544.0,1,0,0,0,1,1,1,1
27399,OPEL,Mokka,Edition ***24 MOIS DE GARANTIE***,Essence,16829.0,2022,Manuelle,23900.0,101.0,1,1,1,1,1,0,0,1
27400,RENAULT,Scenic,dCi 150 Initiale A,Diesel,174000.0,2014,Automatique,6500.0,150.0,1,0,0,1,1,1,1,1
27401,FORD,Mustang,SHELBY GT350 5.2L V8 GT 350 2016,Essence,16500.0,2016,Manuelle,79900.0,526.0,1,0,0,1,1,1,1,1
27402,SKODA,Kamiq,Ambition,Essence,7000.0,2023,Automatique,25750.0,110.0,1,0,1,1,1,1,1,1
27403,MERCEDES-BENZ,G,Classe GLC 220 d Executive GARANTIE 12 MOIS,Diesel,76000.0,2017,Automatique,31490.0,170.0,1,1,1,1,1,1,0,1
27404,MERCEDES-BENZ,CL,560 Maybach 4Matic 9G-Tronic,Essence,127191.0,2018,Automatique,59499.0,171.2730640535373,1,0,0,1,1,1,1,1
27405,TESLA,Model 3,Long-Range Dual Motor AWD,Electrique,79100.0,2019,Automatique,30376.0,462.0,1,0,0,1,1,1,1,1
27406,RENAULT,Scenic,LIMITED - GPS CLIM JA **GARANTIE 24 MOIS**,Essence,110950.0,2018,Manuelle,14490.0,140.0,1,0,1,1,1,1,1,1
27407,RENAULT,Captur,1.5 Blue dCi 95 Intens,Diesel,71159.0,2018,Manuelle,12990.0,90.0,1,1,0,1,1,1,0,0
