,mark,model,description,fuel,km,year,gearbox,price,power,isautoscout,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad
0,CITROEN,C3,PureTech 82ch Shine S&S E6.d,Essence,17860.0,2019,Manuelle,12799.0,82.0,0,1,0,1,0,1,0,1
1,RENAULT,Zoe,Zen charge normale R110 Achat Intégral - 20,Electrique,50065.0,2020,Automatique,12799.0,141.74541864139022,0,1,1,1,1,1,0,0
2,PEUGEOT,3008,HYBRID4 300ch GT Pack e-EAT8,Hybride,14456.0,2021,Automatique,12799.0,300.0,0,0,1,1,1,1,1,1
3,PEUGEOT,2008,1.2 PureTech 130ch S&S Style EAT8,Essence,31658.0,2022,Automatique,12799.0,130.0,0,1,1,1,1,1,0,1
4,DACIA,Sandero,1.0 ECO-G 100ch Stepway Expression +,Gpl,13344.0,2023,Manuelle,12799.0,100.0,0,0,1,1,1,1,1,1
5,DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2 - 20,Diesel,29813.0,2020,Manuelle,12799.0,115.0,0,1,0,1,1,1,1,1
6,CITROEN,C4,BlueHDi 130ch S&S Feel Pack EAT8 120g,Diesel,69947.0,2021,Automatique,12799.0,130.0,0,0,0,1,1,1,1,1
7,PEUGEOT,3008,1.5 BlueHDi 130ch S&S Allure Business EAT8,Diesel,161205.0,2020,Automatique,12799.0,130.0,0,0,1,1,1,1,0,1
8,PEUGEOT,208,1.2 PureTech 100ch S&S Active Pack 118g,Essence,14031.0,2022,Manuelle,12799.0,100.0,0,1,0,1,1,0,0,1
9,PEUGEOT,308,1.2 PureTech 130ch S&S GT EAT8,Essence,49025.0,2021,Automatique,12799.0,130.0,0,1,1,0,1,1,1,1
10,RENAULT,Clio,1.0 TCe 90ch Intens -21,Essence,34134.0,2021,Manuelle,12799.0,90.0,0,1,1,1,1,1,0,1
11,PEUGEOT,3008,1.2 PureTech 130ch E6.c Allure S&S EAT8,Essence,68813.0,2019,Automatique,12799.0,130.0,0,1,0,1,1,1,0,1
12,RENAULT,Kadjar,1.5 Blue dCi 115ch Intens EDC,Diesel,56792.0,2020,Automatique,12799.0,115.0,0,0,1,1,1,1,1,1
13,CITROEN,C3,1.2 PureTech 83ch S&S Shine BVM,Essence,15267.0,2023,Manuelle,12799.0,83.0,0,0,0,1,1,1,0,1
14,RENAULT,Captur,1.6 E-Tech Plug-in 160ch Initiale Paris,Hybride R,24655.0,2021,Automatique,12799.0,160.0,0,0,0,1,1,1,1,1
15,PEUGEOT,208,1.2 PureTech 75ch S&S Like,Essence,19403.0,2021,Manuelle,12799.0,75.0,0,1,0,1,1,0,0,0
16,RENAULT,Megane,1.5 Blue dCi 115ch Evolution EDC -23,Diesel,11650.0,2023,Automatique,12799.0,115.0,0,1,1,1,1,1,0,1
17,RENAULT,Zoe,Life charge normale R110 Achat Intégral - 20,Electrique,38550.0,2020,Automatique,12799.0,141.74541864139022,0,1,1,1,1,0,0,0
18,RENAULT,Captur,1.0 TCe 100ch Evolution GPL,Gpl,18242.0,2023,Manuelle,12799.0,100.0,0,1,1,1,1,0,0,1
19,PEUGEOT,2008,1.2 PureTech 100ch S&S Allure,Essence,34020.0,2021,Manuelle,12799.0,100.0,0,1,1,1,1,1,0,1
20,PEUGEOT,208,e-208 136ch Active,Electrique,13272.0,2021,Automatique,12799.0,136.0,0,1,0,1,1,1,0,0
21,MINI,Mini,Cooper S 178ch Premium,Essence,26549.0,2023,Automatique,12799.0,178.0,0,0,1,1,1,1,1,1
22,PEUGEOT,208,1.2 PureTech 100ch S&S Allure EAT8,Essence,9936.0,2022,Automatique,12799.0,100.0,0,1,1,1,1,1,0,1
23,PEUGEOT,3008,1.5 BlueHDi 130ch S&S GT EAT8,Diesel,15462.0,2023,Automatique,12799.0,130.0,0,0,1,1,1,1,1,1
24,DACIA,Duster,1.5 Blue dCi 115ch Extreme 4x2,Diesel,29220.0,2022,Manuelle,12799.0,115.0,0,1,0,1,1,1,1,1
25,PEUGEOT,208,e-208 136ch Active,Electrique,26655.0,2021,Automatique,12799.0,136.0,0,1,0,1,1,1,0,0
26,RENAULT,Megane,E-Tech Electric EV40 130ch Equilibre standard charge,Electrique,11000.0,2022,Automatique,12799.0,130.0,0,1,1,1,1,0,1,1
27,DACIA,Sandero,1.0 TCe 90ch Stepway Expression,Essence,11497.0,2023,Manuelle,12799.0,90.0,0,1,1,1,1,0,0,1
28,PEUGEOT,308,1.2 PureTech 130ch S&S Allure EAT8 7cv,Essence,23145.0,2021,Automatique,12799.0,130.0,0,1,0,1,1,1,0,1
29,DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2,Diesel,81305.0,2019,Manuelle,12799.0,115.0,0,1,0,1,1,1,1,1
30,PEUGEOT,308,1.5 BlueHDi 130ch S&S Active Pack EAT8,Diesel,41411.0,2022,Automatique,24299.0,130.0,0,1,1,1,0,1,0,1
31,RENAULT,Clio,1.0 TCe 90ch Techno,Essence,17663.0,2023,Manuelle,24299.0,90.0,0,0,1,1,1,1,1,1
32,PEUGEOT,208,1.2 PureTech 100ch S&S Allure EAT8,Essence,14920.0,2023,Automatique,24299.0,100.0,0,0,1,1,1,1,0,1
33,MINI,Mini,Cooper S 178ch Edition Camden BVA7,Essence,33796.0,2021,Automatique,24299.0,178.0,0,0,1,1,1,1,0,1
34,MINI,Mini,One 102ch Edition Greenwich BVA7,Essence,40367.0,2020,Automatique,24299.0,102.0,0,0,1,1,1,1,0,1
35,PEUGEOT,208,1.2 PureTech 100ch S&S Allure 118g,Essence,11103.0,2022,Manuelle,24299.0,100.0,0,1,1,1,1,1,0,1
36,RENAULT,Arkana,1.3 TCe mild hybrid 160ch RS Line EDC -22,Essence M,6566.0,2023,Automatique,24299.0,160.0,0,0,0,1,1,1,1,1
37,PEUGEOT,308,1.2 PureTech 130ch S&S GT EAT8,Essence,29902.0,2020,Automatique,24299.0,130.0,0,1,1,0,1,1,1,1
38,PEUGEOT,2008,1.2 PureTech 130ch S&S Allure Pack,Essence,11800.0,2023,Manuelle,24299.0,130.0,0,1,1,1,1,1,0,1
39,PEUGEOT,3008,HYBRID 225ch Allure Pack e-EAT8,Hybride,33205.0,2021,Automatique,24299.0,225.0,0,0,1,1,1,1,1,1
40,RENAULT,Twingo,1.0 SCe 65ch Life - 20,Essence,52427.0,2020,Manuelle,24299.0,65.0,0,1,0,0,0,0,0,0
41,RENAULT,Clio,1.6 E-Tech hybride 140ch Business -21N,Hybride,31109.0,2021,Automatique,24299.0,140.0,0,1,1,1,1,0,0,1
42,RENAULT,Captur,1.0 TCe 90ch Intens -21,Essence,38779.0,2021,Manuelle,24299.0,90.0,0,1,1,1,1,1,0,1
43,DACIA,Sandero,1.0 ECO-G 100ch Stepway Essentiel,Gpl,33803.0,2021,Manuelle,24299.0,100.0,0,1,1,1,1,0,0,0
44,NISSAN,Qashqai,1.3 Mild Hybrid 158ch Tekna Xtronic,Essence M,42923.0,2021,Automatique,24299.0,158.0,0,0,0,1,1,1,1,1
45,RENAULT,Captur,1.6 E-Tech hybride 145ch Intens -21,Hybride,37774.0,2022,Automatique,24299.0,145.0,0,1,1,1,1,1,0,1
46,DACIA,Duster,1.0 ECO-G 100ch Prestige 4x2 - E6U,Gpl,44304.0,2021,Manuelle,24299.0,100.0,0,1,0,1,1,1,1,1
47,RENAULT,Clio,1.3 TCe 140ch RS Line,Essence,5645.0,2023,Manuelle,24299.0,140.0,0,0,1,1,1,1,1,1
48,NISSAN,Qashqai,1.5 dCi 115ch Tekna 2019 Euro6-EVAP,Diesel,44853.0,2021,Manuelle,24299.0,115.0,0,0,0,1,1,1,1,1
49,RENAULT,Clio,1.0 TCe 90ch Techno,Essence,12517.0,2023,Manuelle,24299.0,90.0,0,0,1,1,1,1,1,1
50,PEUGEOT,3008,1.2 PureTech 130ch GT Line S&S EAT8 6cv,Essence,56510.0,2019,Automatique,24299.0,130.0,0,0,1,1,1,1,0,1
51,CITROEN,C5 Aircross,Hybrid rechargeable 225ch C-Series ë-EAT8,Hybride R,28631.0,2022,Automatique,24299.0,225.0,0,0,1,1,1,1,1,1
52,CITROEN,C4,Moteur électrique 136ch (100 kW) Feel Pack Automatique,Electrique,29252.0,2020,Automatique,24299.0,136.0,0,0,0,1,1,1,1,1
53,RENAULT,Captur,1.3 TCe mild hybrid 160ch RS Line EDC,Essence M,7826.0,2023,Automatique,24299.0,160.0,0,0,1,1,1,1,1,1
54,RENAULT,Clio,1.0 TCe 100ch Intens,Essence,37270.0,2020,Manuelle,24299.0,100.0,0,1,1,1,1,1,0,1
55,RENAULT,Captur,1.3 TCe mild hybrid 140ch Techno Fast Track,Essence M,4760.0,2023,Manuelle,24299.0,140.0,0,0,1,1,1,1,1,1
56,CITROEN,C3,1.2 PureTech 83ch S&S Shine,Essence,37700.0,2022,Manuelle,24299.0,83.0,0,0,0,1,1,1,0,1
57,RENAULT,Zoe,Business charge normale R90 MY19,Electrique,14000.0,2019,Automatique,24299.0,141.74541864139022,0,1,0,1,1,1,0,0
58,PEUGEOT,208,e-208 136ch Active,Electrique,14197.0,2021,Automatique,24299.0,136.0,0,1,0,1,1,1,0,0
59,CITROEN,C3,1.2 PureTech 83ch S&S Shine,Essence,15043.0,2023,Manuelle,24299.0,83.0,0,0,0,1,1,1,0,1
60,RENAULT,Zoe,E-Tech Life charge normale R110 Achat Intégral - 21,Electrique,11433.0,2021,Automatique,17499.0,141.74541864139022,0,1,1,1,0,0,0,0
61,PEUGEOT,3008,1.2 PureTech 130ch S&S GT EAT8,Essence,18252.0,2023,Automatique,17499.0,130.0,0,0,1,1,1,1,1,1
62,RENAULT,Clio,1.3 TCe 140ch Techno,Essence,4635.0,2023,Manuelle,17499.0,140.0,0,0,1,1,1,1,1,1
63,RENAULT,Captur,1.0 TCe 90ch Techno,Essence,7730.0,2023,Manuelle,17499.0,90.0,0,0,1,1,1,1,1,1
64,PEUGEOT,2008,1.2 PureTech 100ch S&S Allure 5cv,Essence,25362.0,2021,Manuelle,17499.0,100.0,0,1,1,1,1,1,0,0
65,RENAULT,Captur,1.3 TCe 130ch FAP Intens EDC,Essence,54657.0,2020,Automatique,17499.0,130.0,0,1,1,1,1,1,0,1
66,DACIA,Sandero,1.0 ECO-G 100ch Stepway Confort,Gpl,58476.0,2021,Manuelle,17499.0,100.0,0,1,1,1,1,1,0,1
67,RENAULT,Clio,1.0 TCe 90ch Techno,Essence,5412.0,2023,Manuelle,17499.0,90.0,0,0,1,1,1,1,1,1
68,RENAULT,Zoe,E-Tech Life charge normale R110 Achat Intégral - 21,Electrique,14925.0,2021,Automatique,17499.0,141.74541864139022,0,1,1,1,0,0,0,0
69,PEUGEOT,208,e-208 136ch Allure,Electrique,15990.0,2021,Automatique,17499.0,136.0,0,0,1,1,1,1,0,1
70,PEUGEOT,208,1.2 PureTech 100ch S&S Active Pack,Essence,18980.0,2022,Manuelle,17499.0,100.0,0,1,0,1,1,0,0,1
71,PEUGEOT,208,e-208 136ch Active Business,Electrique,18176.0,2021,Automatique,17499.0,136.0,0,1,0,1,1,1,0,1
72,PEUGEOT,308,1.2 PureTech 130ch S&S GT EAT8,Essence,8552.0,2023,Automatique,17499.0,130.0,0,1,1,1,0,1,1,1
73,MINI,Mini,Cooper 136ch Edition Greenwich,Essence,26365.0,2020,Manuelle,17499.0,136.0,0,0,1,1,1,1,0,1
74,DACIA,Sandero,1.0 SCe 75ch City+,Essence,46129.0,2020,Manuelle,17499.0,75.0,0,1,0,0,1,0,0,0
75,CITROEN,C3,PureTech 110ch Feel S&S E6.d-TEMP,Essence,62000.0,2018,Manuelle,17499.0,110.0,0,1,0,1,0,0,0,0
76,DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2,Diesel,76026.0,2019,Manuelle,17499.0,115.0,0,1,0,1,1,1,1,1
77,PEUGEOT,2008,1.5 BlueHDi 130ch S&S GT EAT8,Diesel,16358.0,2023,Automatique,17499.0,130.0,0,0,1,1,1,1,1,1
78,PEUGEOT,2008,e-2008 136ch Roadtrip,Electrique,42814.0,2022,Automatique,17499.0,136.0,0,0,1,1,1,1,1,1
79,PEUGEOT,208,1.2 PureTech 75ch S&S Active,Essence,26742.0,2021,Manuelle,17499.0,75.0,0,1,0,1,1,0,0,0
80,PEUGEOT,308,1.2 PureTech 130ch S&S GT EAT8,Essence,1.0,2023,Automatique,17499.0,130.0,0,1,1,1,0,1,1,1
81,PEUGEOT,3008,HYBRID4 300ch GT e-EAT8,Hybride,49796.0,2021,Automatique,17499.0,300.0,0,0,1,1,1,1,1,1
82,RENAULT,Clio,1.5 Blue dCi 85ch Business,Diesel,51556.0,2020,Manuelle,17499.0,85.0,0,1,1,1,1,0,0,1
83,PEUGEOT,2008,1.2 PureTech 130ch S&S Allure EAT8 7cv,Essence,72400.0,2020,Automatique,17499.0,130.0,0,1,1,1,1,1,0,0
84,RENAULT,Clio,1.0 TCe 100ch Evolution GPL,Gpl,4995.0,2023,Manuelle,17499.0,100.0,0,1,1,1,1,0,0,1
85,CITROEN,C3,1.2 PureTech 83ch S&S Shine,Essence,27255.0,2021,Manuelle,17499.0,83.0,0,0,0,1,1,1,0,1
86,RENAULT,Captur,1.0 TCe 90ch Intens -21,Essence,20410.0,2021,Manuelle,17499.0,90.0,0,1,0,1,1,1,1,1
87,PEUGEOT,2008,1.2 PureTech 100ch S&S Allure 5cv,Essence,61673.0,2020,Manuelle,17499.0,100.0,0,1,1,1,1,1,0,0
88,PEUGEOT,208,1.2 PureTech 100ch S&S Allure,Essence,45303.0,2021,Manuelle,17499.0,100.0,0,1,0,1,1,1,0,1
89,PEUGEOT,2008,1.2 PureTech 100ch S&S Active,Essence,5.0,2023,Manuelle,17499.0,100.0,0,1,1,1,1,1,0,1
90,PEUGEOT,3008,1.2 PureTech 130ch S&S Active,Essence,32919.0,2021,Manuelle,21499.0,130.0,0,1,0,1,1,1,0,1
91,NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta,Essence M,29862.0,2023,Manuelle,21499.0,140.0,0,0,1,1,1,1,1,1
92,RENAULT,Clio,1.6 E-Tech hybride 140ch Business -21N,Hybride,31876.0,2022,Automatique,21499.0,140.0,0,1,1,1,1,0,0,1
93,CITROEN,C3,1.2 PureTech 110ch S&S Shine EAT6,Essence,33700.0,2022,Automatique,21499.0,110.0,0,0,0,1,1,1,0,1
94,PEUGEOT,208,1.2 PureTech 100ch S&S Roadtrip 118g,Essence,29404.0,2021,Manuelle,21499.0,100.0,0,0,0,1,1,1,1,1
95,RENAULT,Twingo,E-Tech Electric Life R80 Achat Intégral - 21MY,Electrique,20067.0,2021,Automatique,21499.0,141.74541864139022,0,1,0,0,0,0,0,0
96,PEUGEOT,2008,1.2 PureTech 100ch S&S Active Business,Essence,25204.0,2021,Manuelle,21499.0,100.0,0,1,1,1,1,0,0,1
97,DACIA,Sandero,1.0 ECO-G 100ch Stepway Confort,Gpl,58103.0,2021,Manuelle,21499.0,100.0,0,1,1,1,1,1,1,1
98,PEUGEOT,208,e-208 136ch GT,Electrique,19133.0,2020,Automatique,21499.0,136.0,0,0,0,1,1,1,1,1
99,RENAULT,Captur,1.3 TCe mild hybrid 140ch Techno,Essence M,5614.0,2023,Manuelle,21499.0,140.0,0,0,1,1,1,1,1,1
100,CITROEN,C3,1.2 PureTech 83ch S&S Feel Business,Essence,14244.0,2021,Manuelle,21499.0,83.0,0,0,0,1,1,1,0,1
101,PEUGEOT,208,1.2 PureTech 100ch S&S Active,Essence,55679.0,2020,Manuelle,21499.0,100.0,0,1,0,1,1,0,0,0
102,RENAULT,Arkana,1.6 E-Tech 145ch Intens -21B,Hybride,27365.0,2022,Automatique,21499.0,145.0,0,0,1,1,1,1,1,1
103,PEUGEOT,2008,e-2008 136ch Allure Pack,Electrique,31250.0,2021,Automatique,21499.0,136.0,0,1,1,1,1,1,0,1
104,PEUGEOT,2008,1.2 PureTech 130ch S&S Allure 124g,Essence,45763.0,2020,Manuelle,21499.0,130.0,0,1,1,1,1,1,0,0
105,PEUGEOT,2008,1.2 PureTech 130ch S&S Allure EAT8 7cv,Essence,57646.0,2020,Automatique,21499.0,130.0,0,1,1,1,1,1,0,0
106,PEUGEOT,3008,HYBRID 225ch GT e-EAT8,Hybride,43164.0,2021,Automatique,21499.0,225.0,0,0,1,1,1,1,1,1
107,RENAULT,Captur,1.6 E-Tech Plug-in 160ch Intens,Hybride R,47855.0,2020,Automatique,21499.0,160.0,0,1,1,1,1,1,0,1
108,PEUGEOT,308,1.2 PureTech 130ch S&S Allure Pack EAT8,Essence,43370.0,2021,Automatique,21499.0,130.0,0,0,1,1,1,1,1,1
109,DACIA,Duster,1.0 ECO-G 100ch Prestige 4x2 - E6U,Gpl,44929.0,2021,Manuelle,21499.0,100.0,0,1,0,1,1,1,1,1
110,PEUGEOT,2008,1.2 PureTech 110ch Allure S&S EAT6,Essence,64336.0,2016,Automatique,21499.0,110.0,0,1,1,1,1,1,0,0
111,PEUGEOT,3008,1.2 PureTech 130ch S&S Allure EAT8,Essence,39377.0,2020,Automatique,21499.0,130.0,0,0,1,1,1,1,1,1
112,CITROEN,C3,1.2 PureTech 110ch S&S Shine Pack 121-122g,Essence,17434.0,2022,Manuelle,21499.0,110.0,0,0,0,1,1,1,1,1
113,RENAULT,Megane,1.3 TCe 140ch FAP Business EDC,Essence,48152.0,2022,Automatique,21499.0,140.0,0,1,1,1,1,1,0,1
114,RENAULT,Clio,1.0 TCe 90ch RS Line -21N,Essence,21364.0,2021,Manuelle,21499.0,90.0,0,0,1,1,1,1,1,1
115,RENAULT,Zoe,Team Rugby charge normale R110 Achat Intégral,Electrique,19517.0,2020,Automatique,21499.0,141.74541864139022,0,1,1,1,1,0,0,0
116,NISSAN,Qashqai,1.5 dCi 115ch Business Edition DCT 2019 Euro6-EVAP,Diesel,57698.0,2020,Automatique,21499.0,115.0,0,1,0,1,1,1,1,1
117,RENAULT,Twingo,1.0 SCe 65ch Limited E6D-Full,Essence,27336.0,2021,Manuelle,21499.0,65.0,0,1,0,0,1,0,0,1
118,PEUGEOT,2008,1.5 BlueHDi 130ch S&S Allure EAT8,Diesel,18758.0,2022,Automatique,21499.0,130.0,0,1,1,1,1,1,0,1
119,RENAULT,Megane,E-Tech Electric EV60 220ch Techno super charge,Electrique,7357.0,2022,Automatique,21499.0,220.0,0,0,1,1,1,1,1,1
120,RENAULT,Captur,1.0 TCe 90ch Techno,Essence,15937.0,2022,Manuelle,19980.0,90.0,0,0,1,1,1,1,1,1
121,RENAULT,Clio,1.0 TCe 90ch Limited -21,Essence,41757.0,2021,Manuelle,19980.0,90.0,0,1,1,1,1,0,0,1
122,RENAULT,Captur,1.0 TCe 100ch Business GPL -21,Gpl,39295.0,2021,Manuelle,19980.0,100.0,0,1,1,1,1,0,1,1
123,PEUGEOT,208,1.2 PureTech 75ch S&S Active,Essence,31476.0,2020,Manuelle,19980.0,75.0,0,1,0,1,1,0,0,0
124,RENAULT,Megane,1.3 TCe 140ch Techno EDC -23,Essence,5427.0,2023,Automatique,19980.0,140.0,0,0,0,1,1,1,1,1
125,DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2 E6U,Diesel,49288.0,2021,Manuelle,19980.0,115.0,0,1,0,1,1,1,1,1
126,PEUGEOT,308,e-308 156ch GT,Electrique,20869.0,2023,Automatique,19980.0,156.0,0,1,1,1,0,1,1,1
127,RENAULT,Clio,0.9 TCe 90ch energy Intens 5p,Essence,68335.0,2016,Manuelle,19980.0,90.0,0,1,1,1,1,1,0,0
128,RENAULT,Clio,1.3 TCe 140ch RS Line,Essence,4759.0,2023,Manuelle,19980.0,140.0,0,0,1,1,1,1,1,1
129,PEUGEOT,2008,1.2 PureTech 100ch S&S Allure,Essence,31859.0,2021,Manuelle,19980.0,100.0,0,1,1,1,1,1,0,1
130,NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta 2022,Essence M,38566.0,2022,Manuelle,19980.0,140.0,0,0,1,1,1,1,1,1
131,NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta 2022,Essence M,34658.0,2022,Manuelle,19980.0,140.0,0,0,1,1,1,1,1,1
132,PEUGEOT,208,1.2 PureTech 100ch S&S Style 118g,Essence,8908.0,2022,Manuelle,19980.0,100.0,0,1,1,1,1,0,0,1
133,RENAULT,Arkana,1.6 E-Tech 145ch RS Line -21B,Hybride,38157.0,2021,Automatique,19980.0,145.0,0,0,0,1,1,1,1,1
134,CITROEN,C5 Aircross,Hybrid rechargeable 180ch Feel Pack ë-EAT8,Hybride R,16056.0,2023,Automatique,19980.0,180.0,0,0,1,1,1,1,1,1
135,PEUGEOT,3008,1.2 PureTech 130ch E6.c Allure S&S,Essence,54270.0,2019,Manuelle,19980.0,130.0,0,1,0,1,1,1,0,1
136,RENAULT,Twingo,E-Tech Electric Equilibre R80 Achat Intégral,Electrique,12551.0,2022,Automatique,19980.0,141.74541864139022,0,1,0,0,1,1,0,0
137,PEUGEOT,2008,e-2008 136ch Active Pack,Electrique,29720.0,2021,Automatique,19980.0,136.0,0,1,1,1,1,1,0,1
138,PEUGEOT,208,e-208 136ch GT,Electrique,31257.0,2021,Automatique,19980.0,136.0,0,0,0,1,1,1,1,1
139,RENAULT,Zoe,Life charge normale R110,Electrique,24315.0,2020,Automatique,19980.0,141.74541864139022,0,1,1,1,1,0,0,0
140,PEUGEOT,2008,1.2 PureTech 100ch S&S Allure Business,Essence,46775.0,2020,Manuelle,19980.0,100.0,0,1,1,1,1,1,0,1
141,PEUGEOT,208,1.2 PureTech 75ch S&S Like,Essence,41000.0,2019,Manuelle,19980.0,75.0,0,1,0,1,1,0,0,0
142,DACIA,Sandero,1.0 TCe 90ch Stepway Expression,Essence,9864.0,2023,Manuelle,19980.0,90.0,0,1,1,1,1,1,0,1
143,RENAULT,Clio,1.0 TCe 90ch Intens -21,Essence,27051.0,2021,Manuelle,19980.0,90.0,0,1,1,1,1,1,0,1
144,DACIA,Sandero,1.0 ECO-G 100ch Stepway Confort,Gpl,43952.0,2021,Manuelle,19980.0,100.0,0,1,1,1,1,1,0,1
145,PEUGEOT,2008,1.2 PureTech 130ch S&S Allure,Essence,11989.0,2023,Manuelle,19980.0,130.0,0,1,1,1,1,1,0,1
146,NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta 2022,Essence M,30165.0,2023,Manuelle,19980.0,140.0,0,0,1,1,1,1,1,1
147,CITROEN,C4,BlueHDi 110ch S&S Feel,Diesel,103972.0,2021,Manuelle,19980.0,110.0,0,1,1,1,1,1,0,1
148,DACIA,Sandero,1.0 TCe 110ch Stepway Expression +,Essence,11097.0,2023,Manuelle,19980.0,110.0,0,0,1,1,1,1,1,1
149,PEUGEOT,3008,1.5 BlueHDi 130ch S&S GT EAT8,Diesel,14990.0,2023,Automatique,19980.0,130.0,0,0,1,1,1,1,1,1
150,RENAULT,Captur,1.6 E-Tech hybride 145ch Intens -21,Hybride,39304.0,2022,Automatique,22299.0,145.0,0,1,1,1,1,1,0,1
151,PEUGEOT,208,e-208 136ch Active Business,Electrique,44585.0,2020,Automatique,22299.0,136.0,0,1,0,1,1,1,0,1
152,RENAULT,Captur,1.0 TCe 90ch Techno,Essence,6022.0,2023,Manuelle,22299.0,90.0,0,0,1,1,1,1,1,1
153,RENAULT,Clio,1.5 Blue dCi 100ch Evolution,Diesel,42567.0,2022,Manuelle,22299.0,100.0,0,1,1,1,1,0,0,1
154,RENAULT,Zoe,Life charge normale R110 location de batterie,Electrique,14318.0,2020,Automatique,22299.0,141.74541864139022,0,1,1,1,1,0,0,0
155,RENAULT,Captur,1.6 E-Tech hybride 145ch Business -21,Hybride,38106.0,2022,Automatique,22299.0,145.0,0,1,1,1,1,0,1,1
156,PEUGEOT,208,1.2 PureTech 100ch S&S Allure EAT8,Essence,1658.0,2022,Automatique,22299.0,100.0,0,1,1,1,1,1,0,1
157,PEUGEOT,208,1.2 PureTech 100ch S&S Allure Business 118g,Essence,20801.0,2021,Manuelle,22299.0,100.0,0,0,0,1,1,1,1,1
158,PEUGEOT,208,1.6 BlueHDi 100ch S&S Premium Pack Euro6c,Diesel,86012.0,2019,Manuelle,22299.0,100.0,0,0,0,1,1,0,0,0
159,RENAULT,Megane,1.3 TCe 140ch FAP Business EDC -21B,Essence,46307.0,2021,Automatique,22299.0,140.0,0,1,1,1,1,1,0,1
160,CITROEN,C3,1.5 BlueHDi 100ch S&S Shine E6.d,Diesel,66327.0,2021,Manuelle,22299.0,100.0,0,0,0,1,1,1,0,1
161,DACIA,Sandero,1.0 SCe 75ch Urban Stepway - 20,Essence,24800.0,2020,Manuelle,22299.0,75.0,0,1,0,0,1,0,0,0
162,PEUGEOT,208,1.2 PureTech 100ch S&S Allure,Essence,19179.0,2023,Manuelle,22299.0,100.0,0,1,1,1,1,1,0,1
163,RENAULT,Clio,1.0 TCe 100ch Evolution GPL,Gpl,12792.0,2022,Manuelle,22299.0,100.0,0,1,1,1,1,0,0,1
164,CITROEN,C3,1.2 PureTech 83ch S&S C-Series 123g,Essence,10509.0,2022,Manuelle,22299.0,83.0,0,0,0,1,1,1,0,0
165,PEUGEOT,3008,1.5 BlueHDi 130ch S&S GT EAT8,Diesel,20187.0,2023,Automatique,22299.0,130.0,0,0,1,1,1,1,1,1
166,PEUGEOT,2008,1.5 BlueHDi 130ch S&S Allure Pack EAT8 125g,Diesel,22915.0,2021,Automatique,22299.0,130.0,0,1,1,1,1,1,0,1
167,RENAULT,Clio,1.3 TCe 130ch FAP Initiale Paris EDC,Essence,39731.0,2020,Automatique,22299.0,130.0,0,0,1,1,1,1,0,1
168,RENAULT,Captur,1.6 E-Tech Plug-in 160ch Initiale Paris,Hybride R,47185.0,2020,Automatique,22299.0,160.0,0,0,0,1,1,1,1,1
169,RENAULT,Zoe,Edition One charge normale R90,Electrique,40157.0,2018,Automatique,22299.0,141.74541864139022,0,1,0,1,1,1,1,0
170,RENAULT,Clio,1.0 TCe 90ch Techno,Essence,8039.0,2023,Manuelle,22299.0,90.0,0,0,1,1,1,1,1,1
171,PEUGEOT,208,1.2 PureTech 100ch S&S Allure Pack,Essence,17589.0,2023,Manuelle,22299.0,100.0,0,0,1,1,1,1,1,1
172,RENAULT,Clio,1.0 TCe 90ch Business -21,Essence,29119.0,2022,Manuelle,22299.0,90.0,0,1,1,1,1,0,0,1
173,RENAULT,Captur,1.3 TCe mild hybrid 140ch Techno Fast Track,Essence M,6939.0,2023,Manuelle,22299.0,140.0,0,0,1,1,1,1,1,1
174,PEUGEOT,3008,1.5 BlueHDi 130ch E6.c GT Line S&S EAT8,Diesel,60000.0,2019,Automatique,22299.0,130.0,0,0,1,1,1,1,0,1
175,RENAULT,Captur,1.0 TCe 90ch Business -21,Essence,19485.0,2022,Manuelle,22299.0,90.0,0,1,1,1,1,0,1,1
176,PEUGEOT,208,e-208 136ch Style,Electrique,12247.0,2022,Automatique,22299.0,136.0,0,0,1,1,1,1,0,1
177,RENAULT,Clio,1.6 E-Tech 140ch Première Edition,Hybride,29414.0,2020,Automatique,22299.0,140.0,0,0,1,1,1,1,1,1
178,PEUGEOT,208,1.2 PureTech 75ch S&S Like,Essence,65302.0,2020,Manuelle,22299.0,75.0,0,1,0,1,1,0,0,0
179,PEUGEOT,208,1.2 PureTech 100ch S&S Active Business EAT8,Essence,59581.0,2021,Automatique,22299.0,100.0,0,1,0,1,1,0,0,1
180,PEUGEOT,208,1.2 PureTech 100ch S&S Active Pack,Essence,5897.0,2022,Manuelle,15499.0,100.0,0,1,0,1,1,0,0,1
181,CITROEN,C3,1.2 PureTech 83ch S&S Shine,Essence,39500.0,2022,Manuelle,15499.0,83.0,0,0,0,1,1,1,0,1
